# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure5_permute_kim with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	fold_1	fold_2	fold_3	fold_4	fold_5	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	10	0.634870171319522	0.637797854512559	0.634784360432406	0.633072097234976	0.642796617865416	0.625140553825123	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	20	0.681954007685437	0.675043519943627	0.6924976507636	0.683912933117543	0.661638579083817	0.695077539230457	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	30	0.693971743009449	0.689760626826529	0.702076705076589	0.700821936521807	0.706277119913035	0.670512257008867	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	40	0.702543034914804	0.72199752709405	0.711366848140618	0.678172564361212	0.72160788906569	0.677730401521439	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	50	0.710155155354378	0.690318451582131	0.713336199946251	0.725361394704913	0.734951368648867	0.692204066759886	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	60	0.719497618987946	0.716588027556751	0.721573910532688	0.727101563592794	0.707494207333088	0.724563094650206	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	70	0.718123028345128	0.694769336704188	0.725427616791857	0.729602069404168	0.715380890884439	0.724605261105965	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	80	0.722991009224426	0.715752912101517	0.707617228179002	0.733032601890359	0.731538911695962	0.728018806219406	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	90	0.725486717914038	0.755838648905273	0.707051092643891	0.731457830958386	0.717219462766758	0.715315121209395	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	100	0.720429583554348	0.718445667211756	0.716839036256893	0.727072591545685	0.718938589024584	0.719804261716548	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	110	0.722832081233823	0.737659010185494	0.721040862977283	0.735976984376638	0.707956843175851	0.715753881741983	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	120	0.719292371854441	0.709194246036659	0.718875279854067	0.713962693811736	0.741652942810251	0.714557757136769	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	130	0.719735937396848	0.739261671365978	0.72836977582592	0.698926505047068	0.70113642498852	0.731544968039245	
SeqBinary	MixPoiLin	2	learn_domain_forest.R	140	0.717475495984162	0.712600099349012	0.722022060435946	0.715020770539583	0.724772235734719	0.714341093140306	
